date,close,symbol,timeframe
2025-02-20 18:00:00,245.67,AAPL,30min
2025-02-20 18:30:00,245.69,AAPL,30min
2025-02-20 19:00:00,245.74,AAPL,30min
2025-02-20 19:30:00,245.6,AAPL,30min
2025-02-21 04:00:00,245.48,AAPL,30min
2025-02-21 04:30:00,245.36,AAPL,30min
2025-02-21 05:00:00,245.3,AAPL,30min
2025-02-21 05:30:00,245.31,AAPL,30min
2025-02-21 06:00:00,245.41,AAPL,30min
2025-02-21 06:30:00,245.4,AAPL,30min
2025-02-21 07:00:00,245.69,AAPL,30min
2025-02-21 07:30:00,245.75,AAPL,30min
2025-02-21 08:00:00,245.85,AAPL,30min
2025-02-21 08:30:00,245.89,AAPL,30min
2025-02-21 09:00:00,246.07,AAPL,30min
2025-02-21 09:30:00,245.69,AAPL,30min
2025-02-21 10:00:00,245.78,AAPL,30min
2025-02-21 10:30:00,245.83,AAPL,30min
2025-02-21 11:00:00,247.13,AAPL,30min
2025-02-21 11:30:00,247.015,AAPL,30min
2025-02-21 12:00:00,247.37,AAPL,30min
2025-02-21 12:30:00,248.43,AAPL,30min
2025-02-21 13:00:00,247.43,AAPL,30min
2025-02-21 13:30:00,247.74,AAPL,30min
2025-02-21 14:00:00,246.5,AAPL,30min
2025-02-21 14:30:00,245.92,AAPL,30min
2025-02-21 15:00:00,245.8,AAPL,30min
2025-02-21 15:30:00,245.59,AAPL,30min
2025-02-21 16:00:00,245.54,AAPL,30min
2025-02-21 16:30:00,245.3,AAPL,30min
2025-02-21 17:00:00,245.12,AAPL,30min
2025-02-21 17:30:00,245.2,AAPL,30min
2025-02-21 18:00:00,245.27,AAPL,30min
2025-02-21 18:30:00,245.18,AAPL,30min
2025-02-21 19:00:00,245.08,AAPL,30min
2025-02-21 19:30:00,245.03,AAPL,30min
2025-02-24 04:00:00,245.24,AAPL,30min
2025-02-24 04:30:00,245.22,AAPL,30min
2025-02-24 05:00:00,245.2,AAPL,30min
2025-02-24 05:30:00,245.2,AAPL,30min
2025-02-24 06:00:00,242.35,AAPL,30min
2025-02-24 06:30:00,243.8,AAPL,30min
2025-02-24 07:00:00,244.15,AAPL,30min
2025-02-24 07:30:00,243.88,AAPL,30min
2025-02-24 08:00:00,244.11,AAPL,30min
2025-02-24 08:30:00,244.37,AAPL,30min
2025-02-24 09:00:00,245.0,AAPL,30min
2025-02-24 09:30:00,248.065,AAPL,30min
2025-02-24 10:00:00,247.85,AAPL,30min
2025-02-24 10:30:00,247.225,AAPL,30min
2025-02-24 11:00:00,247.1102,AAPL,30min
2025-02-24 11:30:00,248.0,AAPL,30min
2025-02-24 12:00:00,247.795,AAPL,30min
2025-02-24 12:30:00,247.27,AAPL,30min
2025-02-24 13:00:00,248.04,AAPL,30min
2025-02-24 13:30:00,247.98,AAPL,30min
2025-02-24 14:00:00,248.66,AAPL,30min
2025-02-24 14:30:00,247.98,AAPL,30min
2025-02-24 15:00:00,247.6,AAPL,30min
2025-02-24 15:30:00,247.23,AAPL,30min
2025-02-24 16:00:00,247.9,AAPL,30min
2025-02-24 16:30:00,247.89,AAPL,30min
2025-02-24 17:00:00,247.91,AAPL,30min
2025-02-24 17:30:00,247.78,AAPL,30min
2025-02-24 18:00:00,247.99,AAPL,30min
2025-02-24 18:30:00,247.6,AAPL,30min
2025-02-24 19:00:00,248.2,AAPL,30min
2025-02-24 19:30:00,248.06,AAPL,30min
2025-02-25 04:00:00,247.75,AAPL,30min
2025-02-25 04:30:00,246.55,AAPL,30min
2025-02-25 05:00:00,246.69,AAPL,30min
2025-02-25 05:30:00,246.37,AAPL,30min
2025-02-25 06:00:00,246.91,AAPL,30min
2025-02-25 06:30:00,247.0,AAPL,30min
2025-02-25 07:00:00,247.52,AAPL,30min
2025-02-25 07:30:00,247.6,AAPL,30min
2025-02-25 08:00:00,247.24,AAPL,30min
2025-02-25 08:30:00,247.16,AAPL,30min
2025-02-25 09:00:00,247.97,AAPL,30min
2025-02-25 09:30:00,247.825,AAPL,30min
2025-02-25 10:00:00,245.11,AAPL,30min
2025-02-25 10:30:00,246.06,AAPL,30min
2025-02-25 11:00:00,246.525,AAPL,30min
2025-02-25 11:30:00,249.542,AAPL,30min
2025-02-25 12:00:00,249.58,AAPL,30min
2025-02-25 12:30:00,248.17,AAPL,30min
2025-02-25 13:00:00,247.99,AAPL,30min
2025-02-25 13:30:00,248.14,AAPL,30min
2025-02-25 14:00:00,247.65,AAPL,30min
2025-02-25 14:30:00,248.43,AAPL,30min
2025-02-25 15:00:00,247.72,AAPL,30min
2025-02-25 15:30:00,247.05,AAPL,30min
2025-02-25 16:00:00,246.71,AAPL,30min
2025-02-25 16:30:00,246.08,AAPL,30min
2025-02-25 17:00:00,246.57,AAPL,30min
2025-02-25 17:30:00,246.44,AAPL,30min
2025-02-25 18:00:00,246.6001,AAPL,30min
2025-02-25 18:30:00,246.42,AAPL,30min
2025-02-25 19:00:00,246.5,AAPL,30min
2025-02-25 19:30:00,246.4695,AAPL,30min
