date,close,symbol,timeframe
2024-10-01,226.21,AAPL,daily
2024-10-02,226.78,AAPL,daily
2024-10-03,225.67,AAPL,daily
2024-10-04,226.8,AAPL,daily
2024-10-07,221.69,AAPL,daily
2024-10-08,225.77,AAPL,daily
2024-10-09,229.54,AAPL,daily
2024-10-10,229.04,AAPL,daily
2024-10-11,227.55,AAPL,daily
2024-10-14,231.3,AAPL,daily
2024-10-15,233.85,AAPL,daily
2024-10-16,231.78,AAPL,daily
2024-10-17,232.15,AAPL,daily
2024-10-18,235.0,AAPL,daily
2024-10-21,236.48,AAPL,daily
2024-10-22,235.86,AAPL,daily
2024-10-23,230.76,AAPL,daily
2024-10-24,230.57,AAPL,daily
2024-10-25,231.41,AAPL,daily
2024-10-28,233.4,AAPL,daily
2024-10-29,233.67,AAPL,daily
2024-10-30,230.1,AAPL,daily
2024-10-31,225.91,AAPL,daily
2024-11-01,222.91,AAPL,daily
2024-11-04,222.01,AAPL,daily
2024-11-05,223.45,AAPL,daily
2024-11-06,222.72,AAPL,daily
2024-11-07,227.48,AAPL,daily
2024-11-08,226.96,AAPL,daily
2024-11-11,224.23,AAPL,daily
2024-11-12,224.23,AAPL,daily
2024-11-13,225.12,AAPL,daily
2024-11-14,228.22,AAPL,daily
2024-11-15,225.0,AAPL,daily
2024-11-18,228.02,AAPL,daily
2024-11-19,228.28,AAPL,daily
2024-11-20,229.0,AAPL,daily
2024-11-21,228.52,AAPL,daily
2024-11-22,229.87,AAPL,daily
2024-11-25,232.87,AAPL,daily
2024-11-26,235.06,AAPL,daily
2024-11-27,234.93,AAPL,daily
2024-11-29,237.33,AAPL,daily
2024-12-02,239.59,AAPL,daily
2024-12-03,242.65,AAPL,daily
2024-12-04,243.01,AAPL,daily
2024-12-05,243.04,AAPL,daily
2024-12-06,242.84,AAPL,daily
2024-12-09,246.75,AAPL,daily
2024-12-10,247.77,AAPL,daily
2024-12-11,246.49,AAPL,daily
2024-12-12,247.96,AAPL,daily
2024-12-13,248.13,AAPL,daily
2024-12-16,251.04,AAPL,daily
2024-12-17,253.48,AAPL,daily
2024-12-18,248.05,AAPL,daily
2024-12-19,249.79,AAPL,daily
2024-12-20,254.49,AAPL,daily
2024-12-23,255.27,AAPL,daily
2024-12-24,258.2,AAPL,daily
2024-12-26,259.02,AAPL,daily
2024-12-27,255.59,AAPL,daily
2024-12-30,252.2,AAPL,daily
2024-12-31,250.42,AAPL,daily
2025-01-02,243.85,AAPL,daily
2025-01-03,243.36,AAPL,daily
2025-01-06,245.0,AAPL,daily
2025-01-07,242.21,AAPL,daily
2025-01-08,242.7,AAPL,daily
2025-01-10,236.85,AAPL,daily
2025-01-13,234.4,AAPL,daily
2025-01-14,233.28,AAPL,daily
2025-01-15,237.87,AAPL,daily
2025-01-16,228.26,AAPL,daily
2025-01-17,229.98,AAPL,daily
2025-01-21,222.64,AAPL,daily
2025-01-22,223.83,AAPL,daily
2025-01-23,223.66,AAPL,daily
2025-01-24,222.78,AAPL,daily
2025-01-27,229.86,AAPL,daily
2025-01-28,238.26,AAPL,daily
2025-01-29,239.36,AAPL,daily
2025-01-30,237.59,AAPL,daily
2025-01-31,236.0,AAPL,daily
2025-02-03,228.01,AAPL,daily
2025-02-04,232.8,AAPL,daily
2025-02-05,232.47,AAPL,daily
2025-02-06,233.22,AAPL,daily
2025-02-07,227.63,AAPL,daily
2025-02-10,227.65,AAPL,daily
2025-02-11,232.62,AAPL,daily
2025-02-12,236.87,AAPL,daily
2025-02-13,241.53,AAPL,daily
2025-02-14,244.6,AAPL,daily
2025-02-18,244.47,AAPL,daily
2025-02-19,244.87,AAPL,daily
2025-02-20,245.83,AAPL,daily
2025-02-21,245.55,AAPL,daily
2025-02-24,247.1,AAPL,daily
2025-02-25,247.04,AAPL,daily
