date,close,symbol,timeframe
2024-10-01,185.13,AMZN,daily
2024-10-02,184.76,AMZN,daily
2024-10-03,181.96,AMZN,daily
2024-10-04,186.51,AMZN,daily
2024-10-07,180.8,AMZN,daily
2024-10-08,182.72,AMZN,daily
2024-10-09,185.17,AMZN,daily
2024-10-10,186.65,AMZN,daily
2024-10-11,188.82,AMZN,daily
2024-10-14,187.54,AMZN,daily
2024-10-15,187.69,AMZN,daily
2024-10-16,186.89,AMZN,daily
2024-10-17,187.53,AMZN,daily
2024-10-18,188.99,AMZN,daily
2024-10-21,189.07,AMZN,daily
2024-10-22,189.7,AMZN,daily
2024-10-23,184.71,AMZN,daily
2024-10-24,186.38,AMZN,daily
2024-10-25,187.83,AMZN,daily
2024-10-28,188.39,AMZN,daily
2024-10-29,190.83,AMZN,daily
2024-10-30,192.73,AMZN,daily
2024-10-31,186.4,AMZN,daily
2024-11-01,197.93,AMZN,daily
2024-11-04,195.78,AMZN,daily
2024-11-05,199.5,AMZN,daily
2024-11-06,207.09,AMZN,daily
2024-11-07,210.05,AMZN,daily
2024-11-08,208.18,AMZN,daily
2024-11-11,206.84,AMZN,daily
2024-11-12,208.91,AMZN,daily
2024-11-13,214.1,AMZN,daily
2024-11-14,211.48,AMZN,daily
2024-11-15,202.61,AMZN,daily
2024-11-18,201.7,AMZN,daily
2024-11-19,204.61,AMZN,daily
2024-11-20,202.88,AMZN,daily
2024-11-21,198.38,AMZN,daily
2024-11-22,197.12,AMZN,daily
2024-11-25,201.45,AMZN,daily
2024-11-26,207.86,AMZN,daily
2024-11-27,205.74,AMZN,daily
2024-11-29,207.89,AMZN,daily
2024-12-02,210.71,AMZN,daily
2024-12-03,213.44,AMZN,daily
2024-12-04,218.16,AMZN,daily
2024-12-05,220.55,AMZN,daily
2024-12-06,227.03,AMZN,daily
2024-12-09,226.09,AMZN,daily
2024-12-10,225.04,AMZN,daily
2024-12-11,230.26,AMZN,daily
2024-12-12,228.97,AMZN,daily
2024-12-13,227.46,AMZN,daily
2024-12-16,232.93,AMZN,daily
2024-12-17,231.15,AMZN,daily
2024-12-18,220.52,AMZN,daily
2024-12-19,223.29,AMZN,daily
2024-12-20,224.92,AMZN,daily
2024-12-23,225.06,AMZN,daily
2024-12-24,229.05,AMZN,daily
2024-12-26,227.05,AMZN,daily
2024-12-27,223.75,AMZN,daily
2024-12-30,221.3,AMZN,daily
2024-12-31,219.39,AMZN,daily
2025-01-02,220.22,AMZN,daily
2025-01-03,224.19,AMZN,daily
2025-01-06,227.61,AMZN,daily
2025-01-07,222.11,AMZN,daily
2025-01-08,222.13,AMZN,daily
2025-01-10,218.94,AMZN,daily
2025-01-13,218.46,AMZN,daily
2025-01-14,217.76,AMZN,daily
2025-01-15,223.35,AMZN,daily
2025-01-16,220.66,AMZN,daily
2025-01-17,225.94,AMZN,daily
2025-01-21,230.71,AMZN,daily
2025-01-22,235.01,AMZN,daily
2025-01-23,235.42,AMZN,daily
2025-01-24,234.85,AMZN,daily
2025-01-27,235.42,AMZN,daily
2025-01-28,238.15,AMZN,daily
2025-01-29,237.07,AMZN,daily
2025-01-30,234.64,AMZN,daily
2025-01-31,237.68,AMZN,daily
2025-02-03,237.42,AMZN,daily
2025-02-04,242.06,AMZN,daily
2025-02-05,236.17,AMZN,daily
2025-02-06,238.83,AMZN,daily
2025-02-07,229.15,AMZN,daily
2025-02-10,233.14,AMZN,daily
2025-02-11,232.76,AMZN,daily
2025-02-12,228.93,AMZN,daily
2025-02-13,230.37,AMZN,daily
2025-02-14,228.68,AMZN,daily
2025-02-18,226.65,AMZN,daily
2025-02-19,226.63,AMZN,daily
2025-02-20,222.88,AMZN,daily
2025-02-21,216.58,AMZN,daily
2025-02-24,212.71,AMZN,daily
2025-02-25,212.8,AMZN,daily
