,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2024-10-28,189.565,190.21,188.21,188.39,27930836,AMZN,daily,187.47136156247697,187.52571428571426,64.31095406360423,0.7304520261671144,0.6579255523735098,0.07252647379360455,191.2696250017595,186.362,181.4543749982405,3.5408928571428544,0.29814193685777646,0.00297698375195403
2024-10-29,188.58,191.4599,187.815,190.83,35690158,AMZN,daily,188.14308924998159,187.93,64.29292929292934,0.9593909101220106,0.71821862392321,0.2411722861988006,191.90304253767937,186.647,181.3909574623206,3.5301714285714274,1.2951855194012651,0.012868697181539787
2024-10-30,194.695,195.61,192.42,192.73,37707550,AMZN,daily,189.06047139998526,188.36428571428573,65.03461918892185,1.2793927034186368,0.8304534398222954,0.4489392635963414,192.87626225043115,187.0455,181.21473774956885,3.6598857142857133,0.9956505790494008,0.00990726635213746
2024-10-31,190.51,190.6,185.23,186.4,75146759,AMZN,daily,188.52837711998822,188.19142857142856,45.03691550451191,1.0105691203499703,0.8664765759278303,0.14409254442213992,192.59978843931012,187.26749999999998,181.93521156068985,3.9364285714285705,-3.2843874850827515,-0.03339534345946928
2024-11-01,199.0,200.5,197.02,197.93,99687847,AMZN,daily,190.4087016959906,188.93357142857144,65.00144383482532,1.7082079755485893,1.034822855851982,0.6733851196966072,194.9711153024422,187.8385,180.70588469755782,4.767142857142856,6.185622317596562,0.06001853058115288
2024-11-04,196.45,197.33,194.3101,195.78,38492062,AMZN,daily,191.4829613567925,189.51142857142855,61.04286104286106,2.063814395142373,1.2406211637100604,0.8231932314323125,195.75407996683595,188.5875,181.42092003316407,4.752135714285714,-1.086242611024102,-0.01092185299935951
2024-11-05,196.04,199.82,195.99,199.5,30564784,AMZN,daily,193.086369085434,190.41214285714287,65.94184576485465,2.615656297728492,1.5156281905137468,1.1000281072147453,197.5639514955302,189.42649999999998,181.28904850446975,4.885707142857143,1.9000919399325689,0.018822656496633807
2024-11-06,200.01,207.55,199.14,207.09,72292167,AMZN,daily,195.88709526834722,191.80928571428572,71.03225806451616,3.6236731012050427,1.9372371726520061,1.6864359285530366,201.61439533421884,190.52249999999998,179.43060466578112,5.276421428571431,3.8045112781954993,0.037339245053575845
2024-11-07,207.44,212.25,207.19,210.05,52878383,AMZN,daily,198.7196762146778,193.31357142857146,71.93750000000003,4.6082597922342075,2.4714416965684465,2.136818095665761,205.6348034795472,191.69250000000002,177.75019652045285,5.32642142857143,1.4293302428895593,0.01419211623189712
2024-11-08,209.72,209.9633,207.44,208.18,36075846,AMZN,daily,200.61174097174225,194.67857142857142,69.19060052219324,5.177970051106229,3.012747367476003,2.1652226836302257,208.34279370307414,192.6605,176.9782062969259,5.294278571428573,-0.8902642228040936,-0.00894250752806874
2024-11-11,208.5,209.65,205.59,206.84,35456012,AMZN,daily,201.8573927773938,195.90285714285716,66.97029702970299,5.458421449924998,3.501882183965802,1.9565392659591962,210.3234500475202,193.62550000000002,176.92754995247984,5.259628571428572,-0.6436737438754947,-0.006457542559301615
2024-11-12,208.37,209.54,206.01,208.91,38942918,AMZN,daily,203.26791422191508,197.6314285714286,75.43085329970576,5.781072301422,3.957720207457042,1.8233520939649583,212.458587251169,194.6865,176.91441274883098,5.082485714285716,1.000773544768907,0.009957989682937261
2024-11-13,209.4,215.09,209.14,214.1,46212943,AMZN,daily,205.43433137753206,199.61142857142858,77.12328767123287,6.381997358276692,4.442575637620973,1.9394217206557194,215.40160244462493,196.047,176.69239755537507,5.291771428571431,2.4843233928485864,0.024539658384679072
2024-11-14,214.16,215.9,210.88,211.48,42620309,AMZN,daily,206.64346510202566,201.3007142857143,72.62291945666729,6.5710754243790745,4.8682755949725935,1.702799829406481,217.3301644086485,197.2445,177.15883559135148,5.3596285714285745,-1.223727230266236,-0.012312764228387701
2024-11-15,206.76,207.34,199.61,202.61,86591144,AMZN,daily,205.83677208162055,202.3164285714286,61.73654671508752,5.93675111235811,5.081970698449696,0.8547804139084132,217.75470597184096,197.9255,178.09629402815904,6.037485714285716,-4.194250047285786,-0.042847482429189496
2024-11-18,204.15,204.67,200.95,201.7,36512465,AMZN,daily,205.00941766529647,203.09285714285713,59.20406435224385,5.2995254990954095,5.12548165857884,0.1740438405165694,217.99943227149288,198.557,179.1145677285071,6.042850000000001,-0.44913873945018334,-0.0045015039778938636
2024-11-19,199.33,205.3,198.78,204.61,31197867,AMZN,daily,204.9295341322372,203.94142857142856,59.890109890109905,4.972017961649215,5.094788919192915,-0.12277095754370038,218.4562588725393,199.3025,180.1487411274607,6.167135714285716,1.442736737729322,0.014324283218301996
2024-11-20,202.98,203.13,199.45,202.88,32768989,AMZN,daily,204.51962730578975,205.11857142857144,64.85755499459066,4.520756865796471,4.9799825085136264,-0.45922564271715505,218.1346144146269,200.211,182.28738558537313,5.999992857142861,-0.8455109720932552,-0.008491056929606819
2024-11-21,203.49,203.49,195.75,198.38,58800042,AMZN,daily,203.2917018446318,205.15071428571426,50.46458806524879,3.756711769435583,4.735328360698018,-0.9786165912624352,217.5493692848437,200.81099999999998,184.07263071515627,5.545707142857148,-2.218059936908512,-0.022430287931013364
2024-11-22,198.25,199.2599,196.75,197.12,31530844,AMZN,daily,202.05736147570545,205.2464285714286,51.40933950357594,3.0147765883045565,4.391218006219326,-1.3764414179147693,216.98083730933567,201.27550000000002,185.57016269066438,5.466421428571432,-0.635144671841914,-0.006371702972692671
2024-11-25,199.28,201.9499,199.0,201.45,40685672,AMZN,daily,201.93588918056437,205.3857142857143,52.02492211838005,2.744545018036007,4.061883408582663,-1.3173383905466558,216.41689720894692,201.9285,187.4401027910531,5.522842857142862,2.1966314935064846,0.021728531292201227
2024-11-26,201.9,208.0,201.79,207.86,41673737,AMZN,daily,203.1207113444515,205.44071428571428,50.81967213114755,3.0128872918365914,3.8520841852334486,-0.8391968933968572,216.50354718607517,202.78,189.05645281392484,5.389985714285719,3.181931000248217,0.0313235645229195
2024-11-27,206.98,207.64,205.05,205.74,28061638,AMZN,daily,203.6445690755612,205.13285714285712,45.32841968350315,3.0196752580126827,3.6856023997892953,-0.6659271417766126,216.35856734447066,203.4305,190.50243265552933,5.222128571428576,-1.0199172519965383,-0.010251540457391649
2024-11-29,205.83,208.2,204.59,207.89,24892447,AMZN,daily,204.49365526044897,205.11214285714286,49.68756733462613,3.162091182988121,3.5809001564290606,-0.4188089734409397,214.77144098635588,204.50500000000002,194.23855901364416,5.2935571428571455,1.0450082628560287,0.010395857956138769
2024-12-02,209.96,212.99,209.5101,210.71,39523185,AMZN,daily,205.7369242083592,205.3885714285714,54.04050950093965,3.462592649188366,3.557238654980922,-0.09464600579255578,215.27736417354555,205.144,195.01063582645446,5.367842857142861,1.3564866034922352,0.013473686869693382
2024-12-03,210.31,214.02,209.65,213.44,32214828,AMZN,daily,207.2775393666874,205.71214285714285,54.66529351184346,3.8763463033431265,3.6210601846533628,0.2552861186897637,215.79590254031217,206.027,196.2580974596878,5.427842857142862,1.2956195719235009,0.01287298219854281
2024-12-04,215.96,220.0,215.75,218.16,48745716,AMZN,daily,209.45403149334993,206.00214285714287,54.22212978369384,4.532861601574439,3.803420468037578,0.7294411335368607,217.62719121517304,206.95999999999998,196.29280878482692,5.454985714285718,2.2113943028485794,0.021872975810074226
2024-12-05,218.03,222.15,217.3,220.55,41140220,AMZN,daily,211.67322519467996,206.65,59.47753396029259,5.186224167407232,4.079981207911509,1.1062429594957228,219.91143826859926,207.63299999999998,195.3545617314007,5.4428428571428595,1.0955262192886117,0.01089568801361581
2024-12-06,220.75,227.15,220.6,227.03,44178069,AMZN,daily,214.744580155744,208.3942857142857,76.85877694676634,6.155938722775858,4.495172710884379,1.6607660118914787,223.5054617918288,208.48199999999997,193.45853820817115,5.0664142857142895,2.9381092722738478,0.028957740788585033
2024-12-09,227.21,230.08,225.67,226.09,46819363,AMZN,daily,217.0136641245952,210.13642857142858,76.80808969004177,6.770547690967504,4.9502477069010045,1.8202999840664997,226.33570233149152,209.3775,192.41929766850848,5.115700000000006,-0.4140421970664665,-0.004149017251309016
2024-12-10,226.09,229.06,224.2002,225.04,31199864,AMZN,daily,218.61893129967618,211.5957142857143,73.41278936511571,7.09116101144852,5.378430367810508,1.7127306436380119,228.57365222396197,210.2875,192.00134777603802,4.997114285714291,-0.46441682515813154,-0.004654985906623553
2024-12-11,226.41,231.2,226.26,230.26,35385785,AMZN,daily,220.94714503974095,213.55142857142854,79.05348047538199,7.677953088617983,5.838334911972003,1.8396181766459794,231.6814572210189,211.35500000000002,191.02854277898115,5.068542857142861,2.319587628865971,0.022930941063916892
2024-12-12,229.83,231.09,227.63,228.97,28204084,AMZN,daily,222.55171603179278,215.7364285714286,84.8326121612389,7.947286447213827,6.2601252190203684,1.6871612281934585,233.88323852566504,212.0985,190.31376147433497,4.762828571428575,-0.5602362546686335,-0.005618114639912515
2024-12-13,228.4,230.2,225.8608,227.46,28768080,AMZN,daily,223.53337282543424,217.9035714285714,84.35235507246378,7.94727940398019,6.597556056012333,1.3497233479678563,235.7335544799346,212.89749999999998,190.06144552006535,4.89349285714286,-0.6594750403983052,-0.0066165918493073725
2024-12-16,230.23,233.0,228.01,232.93,37552096,AMZN,daily,225.4126982603474,220.15214285714288,84.74613686534218,8.293059875475393,6.936656819904946,1.3564030555704472,238.37205568531485,214.41349999999997,190.4549443146851,4.9442142857142874,2.4048184296139974,0.023763580486964548
2024-12-17,232.39,232.73,227.85,231.15,35948131,AMZN,daily,226.56015860827796,221.81571428571428,78.63289894270962,8.327468394447749,7.2148191348135065,1.1126492596342423,240.17232311665015,215.88600000000002,191.5996768833499,4.839214285714287,-0.7641780792512765,-0.00767112880902857
2024-12-18,230.77,231.3999,220.11,220.52,43281443,AMZN,daily,225.3521268866224,222.8714285714286,65.02643350955674,7.4115495031075795,7.254165208472322,0.15738429463525794,240.44941492748194,216.6815,192.91358507251806,5.444921428571429,-4.598745403417692,-0.04707845671275159
2024-12-19,224.91,226.09,222.92,223.29,39918739,AMZN,daily,224.93970150929795,223.97142857142856,65.46184738955824,6.830455790483711,7.1694233248746,-0.3389675343908891,240.71551053986423,217.702,194.68848946013577,5.5849214285714295,1.256121893705786,0.012482981318446182
2024-12-20,219.84,226.21,218.73,224.92,88279184,AMZN,daily,224.9357612074384,224.9864285714286,64.61633408763629,6.427371476713063,7.021012955242293,-0.5936414785292303,240.3498283634873,219.029,197.7081716365127,5.754921428571429,0.7299923865824676,0.007273408384071898
2024-12-23,225.01,226.88,223.9,225.06,28070007,AMZN,daily,224.9606089659507,225.8164285714286,62.62494567579315,6.049486370747871,6.826707638343409,-0.7772212675955377,239.21334557313068,220.42600000000002,201.63865442686935,5.655635714285714,0.06224435354793556,0.0006222498978500861
2024-12-24,226.94,229.14,226.13,229.05,15007497,AMZN,daily,225.77848717276058,226.5942857142857,62.022521527931126,6.002773123957496,6.661920735466227,-0.6591476115087307,238.6818780200436,221.80599999999998,204.93012197995637,5.4784928571428555,1.772860570514534,0.017573287010900208
2024-12-26,228.5,228.5,226.6706,227.05,16174500,AMZN,daily,226.03278973820846,227.05857142857144,57.23830734966593,5.73822259585728,6.477181107544437,-0.7389585116871569,238.44232362429938,222.76549999999997,207.08867637570057,5.302021428571428,-0.8731717965509755,-0.00877006278879104
2024-12-27,225.6,226.03,220.9,223.75,27367147,AMZN,daily,225.5762317905668,226.8242857142857,46.06903163950143,5.202312950241918,6.222207476083934,-1.019894525842016,237.13922397240356,223.666,210.19277602759644,5.269878571428571,-1.4534243558687598,-0.014640900388995468
