date,close,symbol,timeframe
2025-02-14 16:00:00,185.26,GOOGL,60min
2025-02-14 17:00:00,185.28,GOOGL,60min
2025-02-14 18:00:00,185.2799,GOOGL,60min
2025-02-14 19:00:00,185.22,GOOGL,60min
2025-02-18 04:00:00,186.15,GOOGL,60min
2025-02-18 05:00:00,186.26,GOOGL,60min
2025-02-18 06:00:00,186.21,GOOGL,60min
2025-02-18 07:00:00,186.22,GOOGL,60min
2025-02-18 08:00:00,186.86,GOOGL,60min
2025-02-18 09:00:00,183.945,GOOGL,60min
2025-02-18 10:00:00,184.355,GOOGL,60min
2025-02-18 11:00:00,183.96,GOOGL,60min
2025-02-18 12:00:00,183.7502,GOOGL,60min
2025-02-18 13:00:00,182.5282,GOOGL,60min
2025-02-18 14:00:00,182.47,GOOGL,60min
2025-02-18 15:00:00,183.77,GOOGL,60min
2025-02-18 16:00:00,183.7,GOOGL,60min
2025-02-18 17:00:00,183.78,GOOGL,60min
2025-02-18 18:00:00,183.88,GOOGL,60min
2025-02-18 19:00:00,183.95,GOOGL,60min
2025-02-19 04:00:00,184.04,GOOGL,60min
2025-02-19 05:00:00,183.97,GOOGL,60min
2025-02-19 06:00:00,184.02,GOOGL,60min
2025-02-19 07:00:00,184.52,GOOGL,60min
2025-02-19 08:00:00,184.21,GOOGL,60min
2025-02-19 09:00:00,184.56,GOOGL,60min
2025-02-19 10:00:00,184.5,GOOGL,60min
2025-02-19 11:00:00,184.72,GOOGL,60min
2025-02-19 12:00:00,184.825,GOOGL,60min
2025-02-19 13:00:00,184.52,GOOGL,60min
2025-02-19 14:00:00,184.86,GOOGL,60min
2025-02-19 15:00:00,185.26,GOOGL,60min
2025-02-19 16:00:00,185.04,GOOGL,60min
2025-02-19 17:00:00,185.0496,GOOGL,60min
2025-02-19 18:00:00,185.0987,GOOGL,60min
2025-02-19 19:00:00,185.12,GOOGL,60min
2025-02-20 04:00:00,184.99,GOOGL,60min
2025-02-20 05:00:00,185.08,GOOGL,60min
2025-02-20 06:00:00,184.93,GOOGL,60min
2025-02-20 07:00:00,185.45,GOOGL,60min
2025-02-20 08:00:00,184.98,GOOGL,60min
2025-02-20 09:00:00,183.21,GOOGL,60min
2025-02-20 10:00:00,183.31,GOOGL,60min
2025-02-20 11:00:00,183.62,GOOGL,60min
2025-02-20 12:00:00,183.9,GOOGL,60min
2025-02-20 13:00:00,184.32,GOOGL,60min
2025-02-20 14:00:00,184.44,GOOGL,60min
2025-02-20 15:00:00,184.56,GOOGL,60min
2025-02-20 16:00:00,184.42,GOOGL,60min
2025-02-20 17:00:00,184.46,GOOGL,60min
2025-02-20 18:00:00,184.54,GOOGL,60min
2025-02-20 19:00:00,184.7095,GOOGL,60min
2025-02-21 04:00:00,184.98,GOOGL,60min
2025-02-21 05:00:00,185.08,GOOGL,60min
2025-02-21 06:00:00,185.01,GOOGL,60min
2025-02-21 07:00:00,185.0,GOOGL,60min
2025-02-21 08:00:00,185.36,GOOGL,60min
2025-02-21 09:00:00,184.27,GOOGL,60min
2025-02-21 10:00:00,182.12,GOOGL,60min
2025-02-21 11:00:00,181.24,GOOGL,60min
2025-02-21 12:00:00,180.37,GOOGL,60min
2025-02-21 13:00:00,180.31,GOOGL,60min
2025-02-21 14:00:00,179.45,GOOGL,60min
2025-02-21 15:00:00,179.66,GOOGL,60min
2025-02-21 16:00:00,179.5,GOOGL,60min
2025-02-21 17:00:00,179.65,GOOGL,60min
2025-02-21 18:00:00,179.44,GOOGL,60min
2025-02-21 19:00:00,179.44,GOOGL,60min
2025-02-24 04:00:00,180.66,GOOGL,60min
2025-02-24 05:00:00,180.41,GOOGL,60min
2025-02-24 06:00:00,180.57,GOOGL,60min
2025-02-24 07:00:00,182.01,GOOGL,60min
2025-02-24 08:00:00,183.53,GOOGL,60min
2025-02-24 09:00:00,180.85,GOOGL,60min
2025-02-24 10:00:00,180.1759,GOOGL,60min
2025-02-24 11:00:00,180.3,GOOGL,60min
2025-02-24 12:00:00,180.705,GOOGL,60min
2025-02-24 13:00:00,180.715,GOOGL,60min
2025-02-24 14:00:00,180.35,GOOGL,60min
2025-02-24 15:00:00,179.29,GOOGL,60min
2025-02-24 16:00:00,179.3,GOOGL,60min
2025-02-24 17:00:00,179.23,GOOGL,60min
2025-02-24 18:00:00,178.95,GOOGL,60min
2025-02-24 19:00:00,179.3,GOOGL,60min
2025-02-25 04:00:00,178.15,GOOGL,60min
2025-02-25 05:00:00,178.07,GOOGL,60min
2025-02-25 06:00:00,178.28,GOOGL,60min
2025-02-25 07:00:00,178.77,GOOGL,60min
2025-02-25 08:00:00,178.33,GOOGL,60min
2025-02-25 09:00:00,177.165,GOOGL,60min
2025-02-25 10:00:00,175.8,GOOGL,60min
2025-02-25 11:00:00,176.755,GOOGL,60min
2025-02-25 12:00:00,177.14,GOOGL,60min
2025-02-25 13:00:00,177.1,GOOGL,60min
2025-02-25 14:00:00,176.5923,GOOGL,60min
2025-02-25 15:00:00,175.46,GOOGL,60min
2025-02-25 16:00:00,175.8,GOOGL,60min
2025-02-25 17:00:00,175.86,GOOGL,60min
2025-02-25 18:00:00,175.77,GOOGL,60min
2025-02-25 19:00:00,176.0,GOOGL,60min
