date,close,symbol,timeframe
2024-10-01,420.69,MSFT,daily
2024-10-02,417.13,MSFT,daily
2024-10-03,416.54,MSFT,daily
2024-10-04,416.06,MSFT,daily
2024-10-07,409.54,MSFT,daily
2024-10-08,414.71,MSFT,daily
2024-10-09,417.46,MSFT,daily
2024-10-10,415.84,MSFT,daily
2024-10-11,416.32,MSFT,daily
2024-10-14,419.14,MSFT,daily
2024-10-15,418.74,MSFT,daily
2024-10-16,416.12,MSFT,daily
2024-10-17,416.72,MSFT,daily
2024-10-18,418.16,MSFT,daily
2024-10-21,418.78,MSFT,daily
2024-10-22,427.51,MSFT,daily
2024-10-23,424.6,MSFT,daily
2024-10-24,424.73,MSFT,daily
2024-10-25,428.15,MSFT,daily
2024-10-28,426.59,MSFT,daily
2024-10-29,431.95,MSFT,daily
2024-10-30,432.53,MSFT,daily
2024-10-31,406.35,MSFT,daily
2024-11-01,410.37,MSFT,daily
2024-11-04,408.46,MSFT,daily
2024-11-05,411.46,MSFT,daily
2024-11-06,420.18,MSFT,daily
2024-11-07,425.43,MSFT,daily
2024-11-08,422.54,MSFT,daily
2024-11-11,418.01,MSFT,daily
2024-11-12,423.03,MSFT,daily
2024-11-13,425.2,MSFT,daily
2024-11-14,426.89,MSFT,daily
2024-11-15,415.0,MSFT,daily
2024-11-18,415.76,MSFT,daily
2024-11-19,417.79,MSFT,daily
2024-11-20,415.49,MSFT,daily
2024-11-21,412.87,MSFT,daily
2024-11-22,417.0,MSFT,daily
2024-11-25,418.79,MSFT,daily
2024-11-26,427.99,MSFT,daily
2024-11-27,422.99,MSFT,daily
2024-11-29,423.46,MSFT,daily
2024-12-02,430.98,MSFT,daily
2024-12-03,431.2,MSFT,daily
2024-12-04,437.42,MSFT,daily
2024-12-05,442.62,MSFT,daily
2024-12-06,443.57,MSFT,daily
2024-12-09,446.02,MSFT,daily
2024-12-10,443.33,MSFT,daily
2024-12-11,448.99,MSFT,daily
2024-12-12,449.56,MSFT,daily
2024-12-13,447.27,MSFT,daily
2024-12-16,451.59,MSFT,daily
2024-12-17,454.46,MSFT,daily
2024-12-18,437.39,MSFT,daily
2024-12-19,437.03,MSFT,daily
2024-12-20,436.6,MSFT,daily
2024-12-23,435.25,MSFT,daily
2024-12-24,439.33,MSFT,daily
2024-12-26,438.11,MSFT,daily
2024-12-27,430.53,MSFT,daily
2024-12-30,424.83,MSFT,daily
2024-12-31,421.5,MSFT,daily
2025-01-02,418.58,MSFT,daily
2025-01-03,423.35,MSFT,daily
2025-01-06,427.85,MSFT,daily
2025-01-07,422.37,MSFT,daily
2025-01-08,424.56,MSFT,daily
2025-01-10,418.95,MSFT,daily
2025-01-13,417.19,MSFT,daily
2025-01-14,415.67,MSFT,daily
2025-01-15,426.31,MSFT,daily
2025-01-16,424.58,MSFT,daily
2025-01-17,429.03,MSFT,daily
2025-01-21,428.5,MSFT,daily
2025-01-22,446.2,MSFT,daily
2025-01-23,446.71,MSFT,daily
2025-01-24,444.06,MSFT,daily
2025-01-27,434.56,MSFT,daily
2025-01-28,447.2,MSFT,daily
2025-01-29,442.33,MSFT,daily
2025-01-30,414.99,MSFT,daily
2025-01-31,415.06,MSFT,daily
2025-02-03,410.92,MSFT,daily
2025-02-04,412.37,MSFT,daily
2025-02-05,413.29,MSFT,daily
2025-02-06,415.82,MSFT,daily
2025-02-07,409.75,MSFT,daily
2025-02-10,412.22,MSFT,daily
2025-02-11,411.44,MSFT,daily
2025-02-12,409.04,MSFT,daily
2025-02-13,410.54,MSFT,daily
2025-02-14,408.43,MSFT,daily
2025-02-18,409.64,MSFT,daily
2025-02-19,414.77,MSFT,daily
2025-02-20,416.13,MSFT,daily
2025-02-21,408.21,MSFT,daily
2025-02-24,404.0,MSFT,daily
2025-02-25,397.9,MSFT,daily
