date,close,symbol,timeframe
2025-02-14 16:00:00,244.81,AAPL,60min
2025-02-14 17:00:00,244.49,AAPL,60min
2025-02-14 18:00:00,244.67,AAPL,60min
2025-02-14 19:00:00,244.64,AAPL,60min
2025-02-18 04:00:00,244.94,AAPL,60min
2025-02-18 05:00:00,244.94,AAPL,60min
2025-02-18 06:00:00,244.71,AAPL,60min
2025-02-18 07:00:00,244.95,AAPL,60min
2025-02-18 08:00:00,244.75,AAPL,60min
2025-02-18 09:00:00,244.93,AAPL,60min
2025-02-18 10:00:00,244.33,AAPL,60min
2025-02-18 11:00:00,244.89,AAPL,60min
2025-02-18 12:00:00,243.975,AAPL,60min
2025-02-18 13:00:00,242.62,AAPL,60min
2025-02-18 14:00:00,243.695,AAPL,60min
2025-02-18 15:00:00,244.46,AAPL,60min
2025-02-18 16:00:00,244.55,AAPL,60min
2025-02-18 17:00:00,244.55,AAPL,60min
2025-02-18 18:00:00,244.9012,AAPL,60min
2025-02-18 19:00:00,245.4,AAPL,60min
2025-02-19 04:00:00,244.56,AAPL,60min
2025-02-19 05:00:00,244.04,AAPL,60min
2025-02-19 06:00:00,243.82,AAPL,60min
2025-02-19 07:00:00,244.23,AAPL,60min
2025-02-19 08:00:00,244.11,AAPL,60min
2025-02-19 09:00:00,245.07,AAPL,60min
2025-02-19 10:00:00,243.42,AAPL,60min
2025-02-19 11:00:00,244.78,AAPL,60min
2025-02-19 12:00:00,244.72,AAPL,60min
2025-02-19 13:00:00,244.73,AAPL,60min
2025-02-19 14:00:00,244.835,AAPL,60min
2025-02-19 15:00:00,244.89,AAPL,60min
2025-02-19 16:00:00,244.58,AAPL,60min
2025-02-19 17:00:00,244.33,AAPL,60min
2025-02-19 18:00:00,244.72,AAPL,60min
2025-02-19 19:00:00,244.8,AAPL,60min
2025-02-20 04:00:00,244.13,AAPL,60min
2025-02-20 05:00:00,244.13,AAPL,60min
2025-02-20 06:00:00,243.83,AAPL,60min
2025-02-20 07:00:00,244.46,AAPL,60min
2025-02-20 08:00:00,243.78,AAPL,60min
2025-02-20 09:00:00,244.9,AAPL,60min
2025-02-20 10:00:00,245.07,AAPL,60min
2025-02-20 11:00:00,245.275,AAPL,60min
2025-02-20 12:00:00,245.36,AAPL,60min
2025-02-20 13:00:00,245.3506,AAPL,60min
2025-02-20 14:00:00,245.335,AAPL,60min
2025-02-20 15:00:00,245.86,AAPL,60min
2025-02-20 16:00:00,245.72,AAPL,60min
2025-02-20 17:00:00,245.67,AAPL,60min
2025-02-20 18:00:00,245.69,AAPL,60min
2025-02-20 19:00:00,245.6,AAPL,60min
2025-02-21 04:00:00,245.36,AAPL,60min
2025-02-21 05:00:00,245.31,AAPL,60min
2025-02-21 06:00:00,245.4,AAPL,60min
2025-02-21 07:00:00,245.75,AAPL,60min
2025-02-21 08:00:00,245.89,AAPL,60min
2025-02-21 09:00:00,245.69,AAPL,60min
2025-02-21 10:00:00,245.83,AAPL,60min
2025-02-21 11:00:00,247.015,AAPL,60min
2025-02-21 12:00:00,248.43,AAPL,60min
2025-02-21 13:00:00,247.74,AAPL,60min
2025-02-21 14:00:00,245.92,AAPL,60min
2025-02-21 15:00:00,245.59,AAPL,60min
2025-02-21 16:00:00,245.3,AAPL,60min
2025-02-21 17:00:00,245.2,AAPL,60min
2025-02-21 18:00:00,245.18,AAPL,60min
2025-02-21 19:00:00,245.03,AAPL,60min
2025-02-24 04:00:00,245.22,AAPL,60min
2025-02-24 05:00:00,245.2,AAPL,60min
2025-02-24 06:00:00,243.8,AAPL,60min
2025-02-24 07:00:00,243.88,AAPL,60min
2025-02-24 08:00:00,244.37,AAPL,60min
2025-02-24 09:00:00,248.065,AAPL,60min
2025-02-24 10:00:00,247.225,AAPL,60min
2025-02-24 11:00:00,248.0,AAPL,60min
2025-02-24 12:00:00,247.27,AAPL,60min
2025-02-24 13:00:00,247.98,AAPL,60min
2025-02-24 14:00:00,247.98,AAPL,60min
2025-02-24 15:00:00,247.23,AAPL,60min
2025-02-24 16:00:00,247.89,AAPL,60min
2025-02-24 17:00:00,247.78,AAPL,60min
2025-02-24 18:00:00,247.6,AAPL,60min
2025-02-24 19:00:00,248.06,AAPL,60min
2025-02-25 04:00:00,246.55,AAPL,60min
2025-02-25 05:00:00,246.37,AAPL,60min
2025-02-25 06:00:00,247.0,AAPL,60min
2025-02-25 07:00:00,247.6,AAPL,60min
2025-02-25 08:00:00,247.16,AAPL,60min
2025-02-25 09:00:00,247.825,AAPL,60min
2025-02-25 10:00:00,246.06,AAPL,60min
2025-02-25 11:00:00,249.542,AAPL,60min
2025-02-25 12:00:00,248.17,AAPL,60min
2025-02-25 13:00:00,248.14,AAPL,60min
2025-02-25 14:00:00,248.43,AAPL,60min
2025-02-25 15:00:00,247.05,AAPL,60min
2025-02-25 16:00:00,246.08,AAPL,60min
2025-02-25 17:00:00,246.44,AAPL,60min
2025-02-25 18:00:00,246.42,AAPL,60min
2025-02-25 19:00:00,246.4695,AAPL,60min
