date,close,symbol,timeframe
2024-10-01,166.99,GOOGL,daily
2024-10-02,165.86,GOOGL,daily
2024-10-03,165.86,GOOGL,daily
2024-10-04,167.06,GOOGL,daily
2024-10-07,162.98,GOOGL,daily
2024-10-08,164.38,GOOGL,daily
2024-10-09,161.86,GOOGL,daily
2024-10-10,162.08,GOOGL,daily
2024-10-11,163.24,GOOGL,daily
2024-10-14,164.96,GOOGL,daily
2024-10-15,165.46,GOOGL,daily
2024-10-16,165.16,GOOGL,daily
2024-10-17,162.93,GOOGL,daily
2024-10-18,163.42,GOOGL,daily
2024-10-21,164.07,GOOGL,daily
2024-10-22,165.14,GOOGL,daily
2024-10-23,162.78,GOOGL,daily
2024-10-24,162.72,GOOGL,daily
2024-10-25,165.27,GOOGL,daily
2024-10-28,166.72,GOOGL,daily
2024-10-29,169.68,GOOGL,daily
2024-10-30,174.46,GOOGL,daily
2024-10-31,171.11,GOOGL,daily
2024-11-01,171.29,GOOGL,daily
2024-11-04,169.24,GOOGL,daily
2024-11-05,169.74,GOOGL,daily
2024-11-06,176.51,GOOGL,daily
2024-11-07,180.75,GOOGL,daily
2024-11-08,178.35,GOOGL,daily
2024-11-11,180.35,GOOGL,daily
2024-11-12,181.62,GOOGL,daily
2024-11-13,178.88,GOOGL,daily
2024-11-14,175.58,GOOGL,daily
2024-11-15,172.49,GOOGL,daily
2024-11-18,175.3,GOOGL,daily
2024-11-19,178.12,GOOGL,daily
2024-11-20,175.98,GOOGL,daily
2024-11-21,167.63,GOOGL,daily
2024-11-22,164.76,GOOGL,daily
2024-11-25,167.65,GOOGL,daily
2024-11-26,169.12,GOOGL,daily
2024-11-27,169.23,GOOGL,daily
2024-11-29,168.95,GOOGL,daily
2024-12-02,171.49,GOOGL,daily
2024-12-03,171.34,GOOGL,daily
2024-12-04,174.37,GOOGL,daily
2024-12-05,172.64,GOOGL,daily
2024-12-06,174.71,GOOGL,daily
2024-12-09,175.37,GOOGL,daily
2024-12-10,185.17,GOOGL,daily
2024-12-11,195.4,GOOGL,daily
2024-12-12,191.96,GOOGL,daily
2024-12-13,189.82,GOOGL,daily
2024-12-16,196.66,GOOGL,daily
2024-12-17,195.42,GOOGL,daily
2024-12-18,188.4,GOOGL,daily
2024-12-19,188.51,GOOGL,daily
2024-12-20,191.41,GOOGL,daily
2024-12-23,194.63,GOOGL,daily
2024-12-24,196.11,GOOGL,daily
2024-12-26,195.6,GOOGL,daily
2024-12-27,192.76,GOOGL,daily
2024-12-30,191.24,GOOGL,daily
2024-12-31,189.3,GOOGL,daily
2025-01-02,189.43,GOOGL,daily
2025-01-03,191.79,GOOGL,daily
2025-01-06,196.87,GOOGL,daily
2025-01-07,195.49,GOOGL,daily
2025-01-08,193.95,GOOGL,daily
2025-01-10,192.04,GOOGL,daily
2025-01-13,191.01,GOOGL,daily
2025-01-14,189.66,GOOGL,daily
2025-01-15,195.55,GOOGL,daily
2025-01-16,192.91,GOOGL,daily
2025-01-17,196.0,GOOGL,daily
2025-01-21,198.05,GOOGL,daily
2025-01-22,198.37,GOOGL,daily
2025-01-23,197.98,GOOGL,daily
2025-01-24,200.21,GOOGL,daily
2025-01-27,191.81,GOOGL,daily
2025-01-28,195.3,GOOGL,daily
2025-01-29,195.41,GOOGL,daily
2025-01-30,200.87,GOOGL,daily
2025-01-31,204.02,GOOGL,daily
2025-02-03,201.23,GOOGL,daily
2025-02-04,206.38,GOOGL,daily
2025-02-05,191.33,GOOGL,daily
2025-02-06,191.6,GOOGL,daily
2025-02-07,185.34,GOOGL,daily
2025-02-10,186.47,GOOGL,daily
2025-02-11,185.32,GOOGL,daily
2025-02-12,183.61,GOOGL,daily
2025-02-13,186.14,GOOGL,daily
2025-02-14,185.23,GOOGL,daily
2025-02-18,183.77,GOOGL,daily
2025-02-19,185.27,GOOGL,daily
2025-02-20,184.56,GOOGL,daily
2025-02-21,179.66,GOOGL,daily
2025-02-24,179.25,GOOGL,daily
2025-02-25,175.42,GOOGL,daily
