,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2025-02-25 18:39:00,398.95,399.0,398.7,399.0,313,MSFT,1min,398.83382453975184,398.72285714285715,56.04938271604939,-0.06801318064805173,-0.11462544411994881,0.04661226347189708,399.3281584147515,398.784305,398.24045158524854,0.561878571428565,0.06269592476488839,0.0006267627908091106
2025-02-25 18:40:00,398.82,399.15,398.6,398.6,91,MSFT,1min,398.7870596318015,398.72857142857146,50.90090090090135,-0.08109727506638365,-0.10791981030923578,0.026822535242852136,399.242128823654,398.7495,398.256871176346,0.5318785714285639,-0.1002506265664116,-0.001003009111169068
2025-02-25 18:41:00,398.83,399.0,398.6,398.7,88,MSFT,1min,398.76964770544123,398.75642857142856,54.50346420323306,-0.08244695274373726,-0.10282523879613609,0.02037828605239883,399.23870323788043,398.74575,398.25279676211954,0.5347357142857041,0.025087807325641087,0.0002508466086150062
2025-02-25 18:42:00,398.7,398.8,398.6,398.6,34,MSFT,1min,398.73571816435305,398.7278571428571,44.652406417112616,-0.09054203408368267,-0.10036859785364541,0.009826563769962743,399.1763843746797,398.71825,398.26011562532034,0.4904499999999895,-0.025081514923497306,-0.00025084660861495194
2025-02-25 18:43:00,398.63,398.9999,398.56,398.56,98,MSFT,1min,398.70057453148246,398.74571428571426,54.04530744336566,-0.09904339941738272,-0.10010355816639288,0.001060158749010165,399.1037817045593,398.68874999999997,398.27371829544063,0.4618714285714215,-0.010035122930263096,-0.00010035626482412557
2025-02-25 18:44:00,398.75,399.0,398.56,398.77,119,MSFT,1min,398.714459625186,398.7414285714285,48.920863309352484,-0.08782317682226903,-0.09764748189756813,0.009824305075299092,399.1096078554986,398.69300000000004,398.2763921445015,0.4332999999999946,0.05268968285827569,0.0005267580671885911
2025-02-25 18:45:00,398.75,399.0,398.56,398.78,87,MSFT,1min,398.7275677001488,398.76000000000005,55.24193548387074,-0.07723384941220957,-0.09356475540049641,0.016330905988286848,399.11556954755497,398.7065,398.29743045244504,0.4047285714285676,0.0025077112119742395,2.507679769422284e-05
2025-02-25 18:46:00,398.82,399.0,398.571,398.78,161,MSFT,1min,398.7380541601191,398.755,48.372093023254635,-0.06805720999506093,-0.08846324631940933,0.020406036324348398,399.1200509363759,398.71950000000004,398.3189490636242,0.40822857142856606,0.0,0.0
2025-02-25 18:47:00,398.79,399.0,398.56,398.57,316,MSFT,1min,398.7044433280953,398.7564285714285,50.485436893203456,-0.07684409124942704,-0.08613941530541287,0.009295324055985835,399.0918488262779,398.73249999999996,398.373151173722,0.41179999999999545,-0.05266061487536611,-0.000526744854469273
2025-02-25 18:48:00,398.78,399.0,398.56,398.75,337,MSFT,1min,398.71355466247627,398.7492857142857,47.422680412370475,-0.06849370942592259,-0.08261027412951483,0.014116564703592238,399.05685855223,398.71999999999997,398.38314144776996,0.4110857142857104,0.045161452191577744,0.00045151257477029424
2025-02-25 18:49:00,398.925,398.925,398.56,398.62,631,MSFT,1min,398.694843729981,398.73785714285714,46.00000000000057,-0.07154120276169351,-0.08039645985595056,0.008855257094257052,399.0168856690324,398.73549999999994,398.4541143309675,0.39537142857142676,-0.03260188087774729,-0.000326071964462794
2025-02-25 18:50:00,399.07,399.07,398.56,398.84,639,MSFT,1min,398.72387498398484,398.7335714285714,48.57142857142842,-0.055563698078685775,-0.0754299075004976,0.01986620942181183,399.0181272575872,398.736,398.4538727424128,0.4074214285714228,0.0551904069038045,0.0005517518260004604
2025-02-25 18:51:00,399.07,399.07,398.59,398.8,134,MSFT,1min,398.7390999871879,398.72285714285715,46.41148325358873,-0.04560338873352521,-0.06946460374710313,0.02386121501357792,399.0142168168678,398.75,398.4857831831322,0.4167071428571368,-0.010029084344587158,-0.00010029587290878665
2025-02-25 18:52:00,398.61,398.95,398.55,398.94,146,MSFT,1min,398.77927998975036,398.7364285714285,54.67980295566542,-0.02611193965987013,-0.06079407092965653,0.0346821312697864,399.0287626478396,398.7545,398.48023735216043,0.4167071428571368,0.0351053159478365,0.0003509915547352466
2025-02-25 18:53:00,398.94,398.95,398.6,398.6,268,MSFT,1min,398.74342399180034,398.7078571428571,40.5660377358486,-0.037665796486408,-0.05616841604100683,0.01850261955459883,399.02423535851767,398.75699999999995,398.4897646414822,0.42027857142856206,-0.08522584849851578,-0.0008526218637241846
2025-02-25 18:54:00,398.95,398.9828,398.255,398.59,2149,MSFT,1min,398.7127391934403,398.70714285714286,49.71098265895813,-0.04708644446748167,-0.054352021726301804,0.007265577258820134,399.017411199863,398.744,398.4705888001371,0.4329785714285655,-0.002508780732579652,-2.5088122030098233e-05
2025-02-25 18:55:00,398.59,398.87,398.58,398.77,57,MSFT,1min,398.7241913547523,398.7121428571428,51.9337016574585,-0.039571722008588495,-0.051395961782759146,0.011824239774170651,399.01667046923694,398.7435,398.470329530763,0.4251214285714257,0.045159186131105145,0.0004514899243945502
2025-02-25 18:56:00,398.75,398.98,397.95,398.79,256,MSFT,1min,398.73735308380185,398.7257142857143,55.49132947976884,-0.031637717552087,-0.04744431293662472,0.01580659538453772,399.00218494319415,398.738,398.47381505680585,0.4844071428571429,0.0050154224239706835,5.015296655865413e-05
2025-02-25 18:57:00,398.59,399.0,398.21,398.57,384,MSFT,1min,398.7038824670415,398.7264285714286,50.26178010471181,-0.04261093095453816,-0.04647763654020741,0.0038667055856692473,398.97346745216333,398.719,398.46453254783665,0.5094142857142856,-0.055166879811441305,-0.0005518210233336632
2025-02-25 18:58:00,398.55,398.77,398.337,398.665,107,MSFT,1min,398.6961059736332,398.71892857142853,47.07520891365013,-0.04314423568911252,-0.045810956369988436,0.0026667206808759156,398.96987587192655,398.71475,398.4596241280734,0.5089142857142852,0.023835210878897506,0.00023832370743801794
2025-02-25 18:59:00,398.55,398.8247,398.33,398.4,58,MSFT,1min,398.6368847789066,398.6917857142857,40.731707317073585,-0.06420999597190757,-0.04949076429037227,-0.014719231681535307,398.93975206397505,398.68475,398.42974793602497,0.5128214285714299,-0.06647184979871046,-0.0006649395212788288
2025-02-25 19:00:00,398.665,398.665,398.33,398.35,91,MSFT,1min,398.5795078231253,398.66107142857146,39.76190476190606,-0.08397137515680697,-0.056386886463659205,-0.027584488693147766,398.96626888589526,398.67224999999996,398.37823111410466,0.5061071428571486,-0.012550200803196354,-0.00012550988406795268
