date,close,symbol,timeframe
2004-09-16,2.828447103500366,GOOG,1d
2004-09-17,2.9158051013946533,GOOG,1d
2004-09-20,2.9622135162353516,GOOG,1d
2004-09-21,2.9244911670684814,GOOG,1d
2004-09-22,2.937891960144043,GOOG,1d
2004-09-23,2.9984474182128906,GOOG,1d
2004-09-24,2.9738776683807373,GOOG,1d
2004-09-27,2.9349145889282227,GOOG,1d
2004-09-28,3.1483445167541504,GOOG,1d
2004-09-29,3.2530744075775146,GOOG,1d
2004-09-30,3.2163445949554443,GOOG,1d
2004-10-01,3.2903008460998535,GOOG,1d
2004-10-04,3.3518474102020264,GOOG,1d
2004-10-05,3.433993339538574,GOOG,1d
2004-10-06,3.4019792079925537,GOOG,1d
2004-10-07,3.4459056854248047,GOOG,1d
2004-10-08,3.4181103706359863,GOOG,1d
2004-10-11,3.3568115234375,GOOG,1d
2004-10-12,3.4099209308624268,GOOG,1d
2004-10-13,3.496781587600708,GOOG,1d
2004-10-14,3.524080514907837,GOOG,1d
2004-10-15,3.5764455795288086,GOOG,1d
2004-10-18,3.7017741203308105,GOOG,1d
2004-10-19,3.671497106552124,GOOG,1d
2004-10-20,3.4866065979003906,GOOG,1d
2004-10-21,3.7072336673736572,GOOG,1d
2004-10-22,4.279277324676514,GOOG,1d
2004-10-25,4.65079402923584,GOOG,1d
2004-10-26,4.511816501617432,GOOG,1d
2004-10-27,4.615305423736572,GOOG,1d
2004-10-28,4.79721736907959,GOOG,1d
2004-10-29,4.731203079223633,GOOG,1d
2004-11-01,4.864968776702881,GOOG,1d
2004-11-02,4.836181640625,GOOG,1d
2004-11-03,4.7567644119262695,GOOG,1d
2004-11-04,4.583786487579346,GOOG,1d
2004-11-05,4.20283842086792,GOOG,1d
2004-11-08,4.282254695892334,GOOG,1d
2004-11-09,4.186708450317383,GOOG,1d
2004-11-10,4.165860652923584,GOOG,1d
2004-11-11,4.542093753814697,GOOG,1d
2004-11-12,4.516779899597168,GOOG,1d
2004-11-15,4.588006019592285,GOOG,1d
2004-11-16,4.28200626373291,GOOG,1d
2004-11-17,4.2810139656066895,GOOG,1d
2004-11-18,4.157918930053711,GOOG,1d
2004-11-19,4.2040791511535645,GOOG,1d
2004-11-22,4.097364902496338,GOOG,1d
2004-11-23,4.1574225425720215,GOOG,1d
2004-11-24,4.337101459503174,GOOG,1d
