date,close,symbol,timeframe
1986-04-10,0.060240086168050766,MSFT,1d
1986-04-11,0.06130620092153549,MSFT,1d
1986-04-14,0.061839282512664795,MSFT,1d
1986-04-15,0.061839282512664795,MSFT,1d
1986-04-16,0.06397217512130737,MSFT,1d
1986-04-17,0.0645052120089531,MSFT,1d
1986-04-18,0.06237297132611275,MSFT,1d
1986-04-21,0.06237297132611275,MSFT,1d
1986-04-22,0.06130620092153549,MSFT,1d
1986-04-23,0.06157277524471283,MSFT,1d
1986-04-24,0.06770361959934235,MSFT,1d
1986-04-25,0.07196875661611557,MSFT,1d
1986-04-28,0.07250181585550308,MSFT,1d
1986-04-29,0.0703689455986023,MSFT,1d
1986-04-30,0.06876976042985916,MSFT,1d
1986-05-01,0.06770361959934235,MSFT,1d
1986-05-02,0.06770361959934235,MSFT,1d
1986-05-05,0.06717056781053543,MSFT,1d
1986-05-06,0.06770361959934235,MSFT,1d
1986-05-07,0.06770361959934235,MSFT,1d
1986-05-08,0.06823667138814926,MSFT,1d
1986-05-09,0.06770361959934235,MSFT,1d
1986-05-12,0.06823667138814926,MSFT,1d
1986-05-13,0.06876976042985916,MSFT,1d
1986-05-14,0.06823667138814926,MSFT,1d
1986-05-15,0.06823667138814926,MSFT,1d
1986-05-16,0.06876976042985916,MSFT,1d
1986-05-19,0.06770361959934235,MSFT,1d
1986-05-20,0.06717056781053543,MSFT,1d
1986-05-21,0.06610438227653503,MSFT,1d
1986-05-22,0.06610438227653503,MSFT,1d
1986-05-23,0.06610438227653503,MSFT,1d
1986-05-27,0.06823667138814926,MSFT,1d
1986-05-28,0.0703689455986023,MSFT,1d
1986-05-29,0.07196875661611557,MSFT,1d
1986-05-30,0.07463409751653671,MSFT,1d
1986-06-02,0.07250181585550308,MSFT,1d
1986-06-03,0.07250181585550308,MSFT,1d
1986-06-04,0.07196875661611557,MSFT,1d
1986-06-05,0.07303488254547119,MSFT,1d
1986-06-06,0.07303488254547119,MSFT,1d
1986-06-09,0.06983588635921478,MSFT,1d
1986-06-10,0.06983588635921478,MSFT,1d
1986-06-11,0.06983588635921478,MSFT,1d
1986-06-12,0.06717056781053543,MSFT,1d
1986-06-13,0.06717056781053543,MSFT,1d
1986-06-16,0.06663750857114792,MSFT,1d
1986-06-17,0.06770361959934235,MSFT,1d
1986-06-18,0.06717056781053543,MSFT,1d
1986-06-19,0.06663750857114792,MSFT,1d
1986-06-20,0.06690404564142227,MSFT,1d
1986-06-23,0.06770361959934235,MSFT,1d
1986-06-24,0.06717056781053543,MSFT,1d
1986-06-25,0.06610438227653503,MSFT,1d
1986-06-26,0.06397217512130737,MSFT,1d
1986-06-27,0.06343907117843628,MSFT,1d
1986-06-30,0.06557134538888931,MSFT,1d
1986-07-01,0.06557134538888931,MSFT,1d
1986-07-02,0.06557134538888931,MSFT,1d
1986-07-03,0.06663750857114792,MSFT,1d
1986-07-07,0.06397217512130737,MSFT,1d
1986-07-08,0.06237297132611275,MSFT,1d
