iteration,file,final_price,predicted_change,up_votes,down_votes,neutral_votes
1,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224938.csv,208.18,-6.96,53.7,33.3,13.0
2,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224941.csv,208.18,-6.96,53.7,33.3,13.0
3,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224945.csv,208.18,-6.96,53.7,33.3,13.0
4,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224948.csv,208.18,-6.96,53.7,33.3,13.0
5,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224951.csv,208.18,-6.96,53.7,33.3,13.0
6,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224954.csv,208.18,-6.96,53.7,33.3,13.0
7,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_224957.csv,208.18,-6.96,53.7,33.3,13.0
8,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_225000.csv,208.18,-6.96,53.7,33.3,13.0
9,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_225003.csv,208.18,-6.96,53.7,33.3,13.0
10,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250325_225007.csv,208.18,-6.96,53.7,33.3,13.0
